bid,bname,taxa,
ENA|CP003542|CP003542.1,Candidatus Carsonella ruddii CS isolate Thao2000 complete genome. [24-FEB-2017],Candidatus Carsonella ruddii,
ENA|CP003467|CP003467.1,Candidatus Carsonella ruddii DC complete genome. [24-FEB-2017],Candidatus Carsonella ruddii,
ENA|CP003543|CP003543.1,Candidatus Carsonella ruddii HC isolate Thao2000 complete genome. [24-FEB-2017],Candidatus Carsonella ruddii,
ENA|CP003544|CP003544.1,Candidatus Carsonella ruddii HT isolate Thao2000 complete genome. [24-FEB-2017],Candidatus Carsonella ruddii,
ENA|CP003545|CP003545.1,Candidatus Carsonella ruddii PC isolate NHV complete genome. [24-FEB-2017],Candidatus Carsonella ruddii,
ENA|AP009180|AP009180.1,Candidatus Carsonella ruddii PV DNA complete genome. [24-FEB-2017],Candidatus Carsonella ruddii,
ENA|CP000860|CP000860.1,Candidatus Desulforudis audaxviator MP104C complete genome. [24-FEB-2017],Candidatus Desulforudis audaxviator,
ENA|CP003539|CP003539.1,Candidatus Endolissoclinum faulkneri L2 complete genome. [24-FEB-2017],Candidatus Endolissoclinum faulkneri,
ENA|CP006745|CP006745.1,Candidatus Endolissoclinum faulkneri L5 complete genome. [24-FEB-2017],Candidatus Endolissoclinum faulkneri,
ENA|LM655252|LM655252.1,Candidatus Evansia muelleri genome assembly chromosome: I [24-FEB-2017],Candidatus Evansia muelleri,
ENA|CP001277|CP001277.1,Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum) genome. [08-MAY-2017],Candidatus Hamiltonella defensa,
ENA|CP007232|CP007232.1,Candidatus Hodgkinia cicadicola isolate TETUND1 complete genome. [03-MAY-2017],Candidatus Hodgkinia cicadicola,
ENA|CP007233|CP007233.1,Candidatus Hodgkinia cicadicola strain TETUND2 complete genome. [03-MAY-2017],Candidatus Hodgkinia cicadicola,
ENA|CP008699|CP008699.1,Candidatus Hodgkinia cicadicola isolate TETULN complete genome. [24-FEB-2017],Candidatus Hodgkinia cicadicola,
ENA|CP001226|CP001226.1,Candidatus Hodgkinia cicadicola Dsem complete genome. [24-FEB-2017],Candidatus Hodgkinia cicadicola,
ENA|CP003978|CP003978.1,Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255) complete genome. [13-NOV-2015],Candidatus Kinetoplastibacterium crithidii,
ENA|CP003804|CP003804.1,Candidatus Kinetoplastibacterium crithidii TCC036E complete genome. [24-FEB-2017],Candidatus Kinetoplastibacterium crithidii,
ENA|CP003803|CP003803.1,Candidatus Kinetoplastibacterium desouzaii TCC079E complete genome. [24-FEB-2017],Candidatus Kinetoplastibacterium desouzaii,
ENA|CP003806|CP003806.1,Candidatus Kinetoplastibacterium galatii TCC219 complete genome. [24-FEB-2017],Candidatus Kinetoplastibacterium galatii,
ENA|CP003805|CP003805.1,Candidatus Kinetoplastibacterium oncopeltii TCC290E complete genome. [24-FEB-2017],Candidatus Kinetoplastibacterium oncopeltii,
ENA|CP000360|CP000360.1,Candidatus Koribacter versatilis Ellin345 complete genome. [24-FEB-2017],Candidatus Koribacter versatilis,
ENA|CP006604|CP006604.1,Candidatus Liberibacter americanus str. Sao Paulo complete genome. [24-FEB-2017],Candidatus Liberibacter americanus,
ENA|CP004005|CP004005.1,Candidatus Liberibacter asiaticus str. gxpsy complete genome. [24-FEB-2017],Candidatus Liberibacter asiaticus,
ENA|AP014595|AP014595.1,Candidatus Liberibacter asiaticus str. Ishi-1 DNA complete genome. [13-NOV-2015],Candidatus Liberibacter asiaticus,
ENA|CP001677|CP001677.5,Candidatus Liberibacter asiaticus str. psy62 complete genome. [24-FEB-2017],Candidatus Liberibacter asiaticus,
ENA|CP002371|CP002371.1,Candidatus Liberibacter solanacearum CLso-ZC1 complete genome. [24-FEB-2017],Candidatus Liberibacter solanacearum,
ENA|FP565575|FP565575.1,Candidatus Methylomirabilis oxyfera complete genome [24-FEB-2017],Candidatus Methylomirabilis oxyfera,
ENA|CP002130|CP002130.1,Candidatus Midichloria mitochondrii IricVA complete genome. [24-FEB-2017],Candidatus Midichloria mitochondrii,
ENA|CP002243|CP002243.1,Candidatus Moranella endobia PCIT complete genome. [24-FEB-2017],Candidatus Moranella endobia,
ENA|CP003881|CP003881.1,Candidatus Moranella endobia PCVAL complete genome. [11-NOV-2016],Candidatus Moranella endobia,
ENA|CP007711|CP007711.1,Candidatus Mycoplasma girerdii strain VCU_M1 complete genome. [24-FEB-2017],Candidatus Mycoplasma girerdii,
ENA|CP003731|CP003731.1,Candidatus Mycoplasma haemolamae str. Purdue complete genome. [24-FEB-2017],Candidatus Mycoplasma haemolamae,
ENA|CP006059|CP006059.1,Candidatus Nasuia deltocephalinicola str. NAS-ALF complete genome. [24-FEB-2017],Candidatus Nasuia deltocephalinicola,
ENA|FP929003|FP929003.1,Candidatus Nitrospira defluvii chromosome complete genome. [24-FEB-2017],Candidatus Nitrospira defluvii,
ENA|AP012554|AP012554.1,Candidatus Pantoea carbekii DNA complete genome. [24-FEB-2017],Candidatus Pantoea carbekii,
ENA|CP010907|CP010907.1,Candidatus Pantoea carbekii strain US complete genome. [11-NOV-2016],Candidatus Pantoea carbekii,
ENA|CP008941|CP008941.1,Candidatus Paracaedibacter acanthamoebae isolate PRA3 complete genome. [24-FEB-2017],Candidatus Paracaedibacter acanthamoebae,
ENA|CP002511|CP002511.1,Candidatus Pelagibacter sp. IMCC9063 complete genome. [24-FEB-2017],Candidatus Pelagibacter sp. IMCC9063,
ENA|CP000084|CP000084.1,Candidatus Pelagibacter ubique HTCC1062 complete genome. [24-FEB-2017],Candidatus Pelagibacter ubique,
ENA|AM422018|AM422018.1,Candidatus Phytoplasma australiense complete genome [24-FEB-2017],Candidatus Phytoplasma australiense,
ENA|CU469464|CU469464.1,Candidatus Phytoplasma mali strain AT complete chromosome. [24-FEB-2017],Candidatus Phytoplasma mali,
ENA|CP003708|CP003708.1,Candidatus Portiera aleyrodidarum BT-B complete genome. [13-NOV-2015],Candidatus Portiera aleyrodidarum,
ENA|CP003868|CP003868.1,Candidatus Portiera aleyrodidarum BT-B complete genome. [24-FEB-2017],Candidatus Portiera aleyrodidarum,
ENA|CP003835|CP003835.1,Candidatus Portiera aleyrodidarum BT-QVLC complete genome. [13-NOV-2015],Candidatus Portiera aleyrodidarum,
ENA|CP003867|CP003867.1,Candidatus Portiera aleyrodidarum BT-QVLC complete genome. [09-SEP-2016],Candidatus Portiera aleyrodidarum,
ENA|CP007563|CP007563.1,Candidatus Portiera aleyrodidarum MED (Bemisia tabaci) strain BT-Q complete genome. [11-NOV-2016],Candidatus Portiera aleyrodidarum,
ENA|CP004358|CP004358.1,Candidatus Portiera aleyrodidarum TV complete genome. [24-FEB-2017],Candidatus Portiera aleyrodidarum,
ENA|CP003468|CP003468.1,Candidatus Profftella armatura complete genome. [24-FEB-2017],Candidatus Profftella armatura,
ENA|CP001751|CP001751.1,Candidatus Puniceispirillum marinum IMCC1322 complete genome. [24-FEB-2017],Candidatus Puniceispirillum marinum,
ENA|CP003334|CP003334.1,Candidatus Rickettsia amblyommii str. GAT-30V complete genome. [24-FEB-2017],Candidatus Rickettsia amblyommii,
ENA|CP001085|CP001085.1,Candidatus Riesia pediculicola USDA complete genome. [24-FEB-2017],Candidatus Riesia pediculicola,
ENA|CP000488|CP000488.1,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica) complete genome. [24-FEB-2017],Candidatus Ruthia magnifica,
ENA|CP006915|CP006915.1,Candidatus Saccharibacteria bacterium RAAC3_TM7_1 complete genome. [24-FEB-2017],Candidatus Saccharibacteria bacterium RAAC3_TM7_1,
ENA|CP007496|CP007496.1,Candidatus Saccharibacteria oral taxon TM7x complete genome. [24-FEB-2017],Candidatus Saccharibacteria oral taxon TM7x,
ENA|CP005957|CP005957.1,Candidatus Saccharimonas aalborgensis complete genome. [24-FEB-2017],Candidatus Saccharimonas aalborgensis,
ENA|CP006568|CP006568.1,Candidatus Sodalis pierantonius str. SOPE complete genome. [24-FEB-2017],Candidatus Sodalis pierantonius,
ENA|CP007234|CP007234.1,Candidatus Sulcia muelleri strain TETUND complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP008986|CP008986.1,Candidatus Sulcia muelleri strain BGSS complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP010105|CP010105.1,Candidatus Sulcia muelleri strain ML complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP002163|CP002163.1,Candidatus Sulcia muelleri CARI complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP001981|CP001981.1,Candidatus Sulcia muelleri DMIN complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP000770|CP000770.2,Candidatus Sulcia muelleri GWSS complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|AP013293|AP013293.1,Candidatus Sulcia muelleri PSPU DNA complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP001605|CP001605.1,Candidatus Sulcia muelleri SMDSEM complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP006060|CP006060.1,Candidatus Sulcia muelleri str. Sulcia-ALF complete genome. [24-FEB-2017],Candidatus Sulcia muelleri,
ENA|CP003920|CP003920.1,Candidatus Sulfuricurvum sp. RIFRC-1 complete genome. [24-FEB-2017],Candidatus Sulfuricurvum sp. RIFRC-1,
ENA|CP004885|CP004885.1,Candidatus Symbiobacter mobilis CR complete genome. [24-FEB-2017],Candidatus Symbiobacter mobilis,
ENA|CP003982|CP003982.1,Candidatus Tremblaya phenacola PAVE complete genome. [24-FEB-2017],Candidatus Tremblaya phenacola,
ENA|CP002244|CP002244.1,Candidatus Tremblaya princeps PCIT complete genome. [24-FEB-2017],Candidatus Tremblaya princeps,
ENA|CP002918|CP002918.1,Candidatus Tremblaya princeps PCVAL complete genome. [24-FEB-2017],Candidatus Tremblaya princeps,
ENA|CP003263|CP003263.1,Candidatus Uzinura diaspidicola str. ASNER complete genome. [24-FEB-2017],Candidatus Uzinura diaspidicola,
ENA|CP002161|CP002161.1,Candidatus Zinderia insecticola CARI complete genome. [24-FEB-2017],Candidatus Zinderia insecticola,
ENA|CP002113|CP002113.1,Capnocytophaga canimorsus Cc5 complete genome. [24-FEB-2017],Capnocytophaga canimorsus,
ENA|CP001632|CP001632.1,Capnocytophaga ochracea DSM 7271 complete genome. [24-FEB-2017],Capnocytophaga ochracea,
ENA|CP000141|CP000141.1,Carboxydothermus hydrogenoformans Z-2901 complete genome. [24-FEB-2017],Carboxydothermus hydrogenoformans,
ENA|HE999757|HE999757.2,Carnobacterium maltaromaticum LMA28 complete genome [24-FEB-2017],Carnobacterium maltaromaticum,
ENA|CP002563|CP002563.1,Carnobacterium sp. 17-4 complete genome. [24-FEB-2017],Carnobacterium sp. 17-4,
ENA|CP001700|CP001700.1,Catenulispora acidiphila DSM 44928 complete genome. [24-FEB-2017],Catenulispora acidiphila,
ENA|CP002008|CP002008.1,Caulobacter segnis ATCC 21756 complete genome. [24-FEB-2017],Caulobacter segnis,
ENA|CP000927|CP000927.1,Caulobacter sp. K31 complete genome. [24-FEB-2017],Caulobacter sp. K31,
ENA|CP009451|CP009451.1,Cedecea neteri strain SSMD04 complete genome. [24-FEB-2017],Cedecea neteri,
ENA|CP009458|CP009458.1,Cedecea neteri strain M006 complete genome. [24-FEB-2017],Cedecea neteri,
ENA|CP009459|CP009459.1,Cedecea neteri strain ND14a complete genome. [11-NOV-2016],Cedecea neteri,
ENA|CP004393|CP004393.1,Celeribacter indicus strain P73 complete genome. [24-FEB-2017],Celeribacter indicus,
ENA|CP002666|CP002666.1,Cellulomonas fimi ATCC 484 complete genome. [24-FEB-2017],Cellulomonas fimi,
ENA|CP001964|CP001964.1,Cellulomonas flavigena DSM 20109 complete genome. [24-FEB-2017],Cellulomonas flavigena,
ENA|CP002453|CP002453.1,Cellulophaga algicola DSM 14237 complete genome. [24-FEB-2017],Cellulophaga algicola,
ENA|CP009976|CP009976.1,Cellulophaga baltica 18 complete genome. [24-FEB-2017],Cellulophaga baltica,
ENA|CP009239|CP009239.1,Cellulophaga lytica strain HI1 complete genome. [13-NOV-2015],Cellulophaga lytica,
ENA|CP002534|CP002534.1,Cellulophaga lytica DSM 7489 complete genome. [24-FEB-2017],Cellulophaga lytica,
ENA|CP000934|CP000934.1,Cellvibrio japonicus Ueda107 complete genome. [24-FEB-2017],Cellvibrio japonicus,
ENA|CP003600|CP003600.1,Chamaesiphon minutus PCC 6605 complete genome. [24-FEB-2017],Chamaesiphon minutus,
ENA|CP000390|CP000390.1,Chelativorans sp. BNC1 complete genome. [24-FEB-2017],Chelativorans sp. BNC1,
ENA|CP001699|CP001699.1,Chitinophaga pinensis DSM 2588 complete genome. [24-FEB-2017],Chitinophaga pinensis,
ENA|CP006571|CP006571.1,Chlamydia avium 10DC88 complete genome. [24-FEB-2017],Chlamydia avium,
ENA|CP009608|CP009608.1,Chlamydia muridarum strain Nigg3 clone G0.1.1 complete genome. [24-FEB-2017],Chlamydia muridarum,
ENA|CP009609|CP009609.1,Chlamydia muridarum strain Nigg3 clone G28.38.1 complete genome. [27-FEB-2016],Chlamydia muridarum,
ENA|CP007217|CP007217.1,Chlamydia muridarum strain Nigg3-28 complete genome. [24-FEB-2017],Chlamydia muridarum,
ENA|CP009760|CP009760.1,Chlamydia muridarum strain Nigg3 complete genome. [24-FEB-2017],Chlamydia muridarum,
ENA|CP006974|CP006974.1,Chlamydia muridarum str. Nigg3 CMUT3-5 strain Nigg complete genome. [09-SEP-2016],Chlamydia muridarum,
ENA|AE002160|AE002160.2,Chlamydia muridarum Nigg complete genome. [24-FEB-2017],Chlamydia muridarum,
ENA|CP007276|CP007276.1,Chlamydia muridarum str. Nigg 2 MCR complete genome. [13-NOV-2015],Chlamydia muridarum,
ENA|CP006975|CP006975.1,Chlamydia muridarum str. Nigg CM972 complete genome. [13-NOV-2015],Chlamydia muridarum,
ENA|CP004035|CP004035.1,Chlamydia pecorum P787 complete genome. [13-NOV-2015],Chlamydia pecorum,
ENA|CP004033|CP004033.1,Chlamydia pecorum PV3056/3 complete genome. [13-NOV-2015],Chlamydia pecorum,
ENA|CP004034|CP004034.1,Chlamydia pecorum W73 complete genome. [13-NOV-2015],Chlamydia pecorum,
ENA|HF545614|HF545614.1,Chlamydia psittaci 01DC12 complete genome [24-FEB-2017],Chlamydia psittaci,
ENA|CP003790|CP003790.1,Chlamydia psittaci 84/55 complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|CP003797|CP003797.1,Chlamydia psittaci CP3 complete genome. [27-FEB-2016],Chlamydia psittaci,
ENA|CP003791|CP003791.1,Chlamydia psittaci GR9 complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|CP003795|CP003795.1,Chlamydia psittaci M56 complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|CP003792|CP003792.1,Chlamydia psittaci MN complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|CP003798|CP003798.1,Chlamydia psittaci NJ1 complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|CP003793|CP003793.1,Chlamydia psittaci VS225 complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|CP003796|CP003796.1,Chlamydia psittaci WC complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|CP003794|CP003794.1,Chlamydia psittaci WS/RT/E30 complete genome. [13-NOV-2015],Chlamydia psittaci,
ENA|FM872306|FM872306.1,Chlamydia trachomatis A2497 serovar A complete genome [29-MAY-2015],Chlamydia trachomatis,
ENA|CP006676|CP006676.1,Chlamydia trachomatis strain D/13-96 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP006671|CP006671.1,Chlamydia trachomatis strain F/1-93 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP006673|CP006673.1,Chlamydia trachomatis strain F/6-94 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP006680|CP006680.1,Chlamydia trachomatis strain J/31-98 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP009923|CP009923.1,Chlamydia trachomatis strain L2b/CS19/08 complete genome. [11-NOV-2016],Chlamydia trachomatis,
ENA|CP009925|CP009925.1,Chlamydia trachomatis strain L2b/CS784/08 complete genome. [11-NOV-2016],Chlamydia trachomatis,
ENA|AM884176|AM884176.1,Chlamydia trachomatis strain L2/434/Bu complete genome [24-FEB-2017],Chlamydia trachomatis,
ENA|CP002401|CP002401.1,Chlamydia trachomatis A2497 complete genome. [24-FEB-2017],Chlamydia trachomatis,
ENA|CP000051|CP000051.1,Chlamydia trachomatis A/HAR-13 complete genome. [24-FEB-2017],Chlamydia trachomatis,
ENA|FM872308|FM872308.1,Chlamydia trachomatis B/Jali20/OT complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|FM872307|FM872307.1,Chlamydia trachomatis B/TZ1A828/OT complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|CP006945|CP006945.1,Chlamydia trachomatis C/TW-3 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002052|CP002052.1,Chlamydia trachomatis D-EC complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002054|CP002054.1,Chlamydia trachomatis D-LC complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|AE001273|AE001273.1,Chlamydia trachomatis D/UW-3/CX complete genome. [24-FEB-2017],Chlamydia trachomatis,
ENA|CP001886|CP001886.1,Chlamydia trachomatis E/150 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP001890|CP001890.1,Chlamydia trachomatis E/11023 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|HE601801|HE601801.1,Chlamydia trachomatis E/SW3 complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|CP006674|CP006674.1,Chlamydia trachomatis F/11-96 complete genome. [09-SEP-2016],Chlamydia trachomatis,
ENA|HE601804|HE601804.1,Chlamydia trachomatis F/SW4 complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|HE601805|HE601805.1,Chlamydia trachomatis F/SW5 complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|CP001930|CP001930.1,Chlamydia trachomatis G/9301 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP001887|CP001887.1,Chlamydia trachomatis G/9768 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP001889|CP001889.1,Chlamydia trachomatis G/11074 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP001888|CP001888.1,Chlamydia trachomatis G/11222 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|HF562298|HF562298.1,Chlamydia trachomatis IU824 complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|HF562300|HF562300.1,Chlamydia trachomatis IU888 complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002680|CP002680.1,Chlamydia trachomatis J/6276tet1 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP003965|CP003965.1,Chlamydia trachomatis L2/434/Bu(f) complete genome. [27-FEB-2016],Chlamydia trachomatis,
ENA|CP003963|CP003963.1,Chlamydia trachomatis L2/434/Bu(i) complete genome. [09-SEP-2016],Chlamydia trachomatis,
ENA|AM884177|AM884177.2,Chlamydia trachomatis L2b/UCH-1/proctitis complete genome [24-FEB-2017],Chlamydia trachomatis,
ENA|CP002024|CP002024.1,Chlamydia trachomatis L2c complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002677|CP002677.1,Chlamydia trachomatis RC-F(s)/342 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002673|CP002673.1,Chlamydia trachomatis RC-F(s)/852 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002671|CP002671.1,Chlamydia trachomatis RC-F/69 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002678|CP002678.1,Chlamydia trachomatis RC-J(s)/122 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002674|CP002674.1,Chlamydia trachomatis RC-J/943 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002675|CP002675.1,Chlamydia trachomatis RC-J/953 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002679|CP002679.1,Chlamydia trachomatis RC-J/966 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002681|CP002681.1,Chlamydia trachomatis RC-J/971 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002676|CP002676.1,Chlamydia trachomatis RC-L2(s)/3 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002672|CP002672.1,Chlamydia trachomatis RC-L2(s)/46 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|CP002682|CP002682.1,Chlamydia trachomatis RC-L2/55 complete genome. [13-NOV-2015],Chlamydia trachomatis,
ENA|FN652779|FN652779.2,Chlamydia trachomatis Sweden2 complete genome [13-NOV-2015],Chlamydia trachomatis,
ENA|CR848038|CR848038.1,Chlamydophila abortus strain S26/3 complete genome. [24-FEB-2017],Chlamydophila abortus,
ENA|AE015925|AE015925.1,Chlamydophila caviae GPIC complete genome. [24-FEB-2017],Chlamydophila caviae,
ENA|CP002514|CP002514.1,Chloracidobacterium thermophilum B chromosome 1 complete sequence. [24-FEB-2017],Chloracidobacterium thermophilum,
ENA|CP002515|CP002515.1,Chloracidobacterium thermophilum B chromosome 2 complete sequence. [24-FEB-2017],Chloracidobacterium thermophilum,
ENA|CP001099|CP001099.1,Chlorobaculum parvum NCIB 8327 complete genome. [24-FEB-2017],Chlorobaculum parvum,
ENA|CP000108|CP000108.1,Chlorobium chlorochromatii CaD3 complete genome. [24-FEB-2017],Chlorobium chlorochromatii,
ENA|CP001097|CP001097.1,Chlorobium limicola DSM 245 complete genome. [24-FEB-2017],Chlorobium limicola,
ENA|CP001101|CP001101.1,Chlorobium phaeobacteroides BS1 complete genome. [24-FEB-2017],Chlorobium phaeobacteroides,
ENA|CP000492|CP000492.1,Chlorobium phaeobacteroides DSM 266 complete genome. [24-FEB-2017],Chlorobium phaeobacteroides,
ENA|CP000607|CP000607.1,Chlorobium phaeovibrioides DSM 265 complete genome. [24-FEB-2017],Chlorobium phaeovibrioides,
ENA|CP001337|CP001337.1,Chloroflexus aggregans DSM 9485 complete genome. [24-FEB-2017],Chloroflexus aggregans,
ENA|CP000909|CP000909.1,Chloroflexus aurantiacus J-10-fl complete genome. [24-FEB-2017],Chloroflexus aurantiacus,
ENA|CP001364|CP001364.1,Chloroflexus sp. Y-400-fl complete genome. [24-FEB-2017],Chloroflexus sp. Y-400-fl,
ENA|CP001100|CP001100.1,Chloroherpeton thalassium ATCC 35110 complete genome. [24-FEB-2017],Chloroherpeton thalassium,
ENA|AE016825|AE016825.1,Chromobacterium violaceum ATCC 12472 complete genome. [24-FEB-2017],Chromobacterium violaceum,
ENA|CP000285|CP000285.1,Chromohalobacter salexigens DSM 3043 complete genome. [24-FEB-2017],Chromohalobacter salexigens,
ENA|CP003597|CP003597.1,Chroococcidiopsis thermalis PCC 7203 complete genome. [24-FEB-2017],Chroococcidiopsis thermalis,
ENA|AP014624|AP014624.1,Chryseobacterium sp. StRB126 DNA complete genome. [24-FEB-2017],Chryseobacterium sp. StRB126,
ENA|HF951689|HF951689.1,Chthonomonas calidirosea T49 complete genome [24-FEB-2017],Chthonomonas calidirosea,
ENA|CP011132|CP011132.1,Citrobacter amalonaticus Y19 complete genome. [24-FEB-2017],Citrobacter amalonaticus,
ENA|CP007557|CP007557.1,Citrobacter freundii CFNIH1 complete genome. [24-FEB-2017],Citrobacter freundii,
ENA|CP000822|CP000822.1,Citrobacter koseri ATCC BAA-895 complete genome. [24-FEB-2017],Citrobacter koseri,
ENA|FN543502|FN543502.1,Citrobacter rodentium ICC168 complete genome [24-FEB-2017],Citrobacter rodentium,
ENA|CP011043|CP011043.1,Clavibacter michiganensis subsp. insidiosus strain R1-1 complete genome. [24-FEB-2017],Clavibacter michiganensis,
ENA|AM711867|AM711867.1,Clavibacter michiganensis subsp. michiganensis NCPPB 382 complete genome [24-FEB-2017],Clavibacter michiganensis,
ENA|HE614873|HE614873.1,Clavibacter michiganensis subsp. nebraskensis NCPPB 2581 complete genome [24-FEB-2017],Clavibacter michiganensis,
ENA|AM849034|AM849034.1,Clavibacter michiganensis subsp. sepedonicus complete genome [24-FEB-2017],Clavibacter michiganensis,
ENA|AE001437|AE001437.1,Clostridium acetobutylicum ATCC 824 complete genome. [24-FEB-2017],Clostridium acetobutylicum,
ENA|CP002660|CP002660.1,Clostridium acetobutylicum DSM 1731 complete genome. [13-NOV-2015],Clostridium acetobutylicum,
ENA|CP002118|CP002118.1,Clostridium acetobutylicum EA 2018 complete genome. [09-SEP-2016],Clostridium acetobutylicum,
ENA|CP006763|CP006763.1,Clostridium autoethanogenum DSM 10061 complete genome. [24-FEB-2017],Clostridium autoethanogenum,
ENA|CP006905|CP006905.1,Clostridium baratii str. Sullivan complete genome. [24-FEB-2017],Clostridium baratii,
ENA|CP006777|CP006777.1,Clostridium beijerinckii ATCC 35702 complete genome. [13-NOV-2015],Clostridium beijerinckii,
ENA|CP000721|CP000721.1,Clostridium beijerinckii NCIMB 8052 complete genome. [24-FEB-2017],Clostridium beijerinckii,
ENA|AP014696|AP014696.1,Clostridium botulinum DNA complete genome strain: 111. [24-FEB-2017],Clostridium botulinum,
ENA|CP010521|CP010521.1,Clostridium botulinum strain NCTC 8550 complete genome. [11-NOV-2016],Clostridium botulinum,
ENA|CP010520|CP010520.1,Clostridium botulinum strain NCTC 8266 complete genome. [11-NOV-2016],Clostridium botulinum,
ENA|CP006903|CP006903.1,Clostridium botulinum 202F complete genome. [11-NOV-2016],Clostridium botulinum,
ENA|CP001581|CP001581.1,Clostridium botulinum A2 str. Kyoto complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|CP000962|CP000962.1,Clostridium botulinum A3 str. Loch Maree complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|AM412317|AM412317.1,Clostridium botulinum A str. ATCC 3502 complete genome [24-FEB-2017],Clostridium botulinum,
ENA|CP000726|CP000726.1,Clostridium botulinum A str. ATCC 19397 complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|CP000727|CP000727.1,Clostridium botulinum A str. Hall complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|CP000939|CP000939.1,Clostridium botulinum B1 str. Okra complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|FR745875|FR745875.1,Clostridium botulinum B str. Eklund 17B(NRP) complete chromosome sequence [09-SEP-2016],Clostridium botulinum,
ENA|CP001056|CP001056.1,Clostridium botulinum B str. Eklund 17B complete genome. [24-MAR-2017],Clostridium botulinum,
ENA|CP001083|CP001083.1,Clostridium botulinum Ba4 str. 657 complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|CP002410|CP002410.1,Clostridium botulinum BKT015925 complete genome. [27-FEB-2016],Clostridium botulinum,
ENA|CP006907|CP006907.1,Clostridium botulinum CDC_297 complete genome. [11-NOV-2016],Clostridium botulinum,
ENA|CP006908|CP006908.1,Clostridium botulinum CDC_1436 complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|CP001078|CP001078.1,Clostridium botulinum E3 str. Alaska E43 complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|CP002011|CP002011.1,Clostridium botulinum F str. 230613 complete genome. [13-NOV-2015],Clostridium botulinum,
ENA|CP000728|CP000728.1,Clostridium botulinum F str. Langeland complete genome. [24-FEB-2017],Clostridium botulinum,
ENA|FR773526|FR773526.1,Clostridium botulinum H04402 065 complete genome sequence [19-APR-2016],Clostridium botulinum,
